comuna,zona_prc,nombre_zona,categorias,zona_ds38,limite_dia,limite_noche,fundamento
Santiago,Zona A,Zona A,R+Eq+AP+Inf+EP+AV,Zona III,65,50,"PRC Santiago Art. 30 Zona A: permite residencial, equipamiento, taller artesanal, infraestructura de transporte/sanitaria, espacio público y área verde."
Santiago,Zona B,Zona B,R+Eq+AP+Inf+EP+AV,Zona III,65,50,"PRC Santiago Art. 30 Zona B: usos mixtos con presencia residencial, equipamiento y actividades productivas."
Santiago,Zona D,Zona D,R+Eq+AP+Inf+EP+AV,Zona III,65,50,"PRC Santiago Art. 30 Zona D: usos mixtos con presencia residencial, equipamiento y actividades productivas."
Santiago,Zona E,Zona E,R+Eq+AP+Inf+EP+AV,Zona III,65,50,"PRC Santiago Art. 30 Zona E: usos mixtos con presencia residencial, equipamiento y actividades productivas."
Santiago,Zona F,Zona F,Eq+EP+AV,Zona II,60,45,"PRC Santiago Zona F: equipamiento cultural/deportivo, espacio público y áreas verdes."
Santiago,Zona G,Zona G,EP+AV,Zona I,55,45,PRC Santiago Zona G: espacio público y áreas verdes.
Santiago,Zona H,Zona H,AV+Eq,Zona II,60,45,PRC Santiago Zona H remite a PRMS art. 5.2.4.1.
Providencia,UR,Uso Residencial,R + Eq + AP + Inf,Zona III,65,50,PRC Providencia Cuadro N°28 permite actividades productivas e infraestructura hasta Conjunto 1.
Providencia,UpR,Uso preferentemente Residencial,R + Eq + AP + Inf,Zona III,65,50,PRC Providencia Cuadro N°28 permite actividades productivas e infraestructura hasta Conjunto 2.
Providencia,UpR y Er,Uso preferentemente Residencial con Equipamientos restringidos,R + Eq + AP + Inf,Zona III,65,50,PRC Providencia Cuadro N°28 permite actividades productivas e infraestructura.
Providencia,UpR y E,Uso preferentemente Residencial y de Equipamiento,R + Eq + AP + Inf,Zona III,65,50,PRC Providencia Cuadro N°28 permite actividades productivas e infraestructura.
Providencia,UpR y ECr,Uso preferentemente Residencial y Equipamiento de Comercio restringido,R + Eq + AP + Inf,Zona III,65,50,PRC Providencia Cuadro N°28 permite actividades productivas e infraestructura.
Providencia,UpEC,Uso preferentemente de Equipamiento Comercial,R + Eq + AP + Inf,Zona III,65,50,PRC Providencia Cuadro N°28 permite actividades productivas.
Providencia,UpAP e Ir,Uso preferentemente de Actividades Productivas e Industria restringida,R + Eq + AP + Inf,Zona III,65,50,PRC Providencia Cuadro N°28 permite residencia equipamiento actividades productivas e infraestructura.
Las Condes,UV,Vivienda,R + Eq,Zona II,60,45,Zona residencial con equipamiento de baja intensidad.
Las Condes,UV1,Vivienda 1 Equipamiento baja intensidad,R + Eq,Zona II,60,45,Permite equipamiento en baja intensidad.
Las Condes,UV1',Vivienda 1 prima Equipamiento baja intensidad,R + Eq,Zona II,60,45,Permite equipamiento en baja intensidad.
Las Condes,UV2,Vivienda 2 Equipamiento menor intensidad,R + Eq,Zona II,60,45,Permite equipamiento en menor intensidad.
Las Condes,UV2',Vivienda 2 prima Equipamiento menor intensidad,R + Eq,Zona II,60,45,Permite equipamiento en menor intensidad.
Las Condes,UV3,Vivienda 3 Equipamiento e Instalaciones media intensidad,R + Eq + Inf,Zona III,65,50,Permite instalaciones y oficinas de media intensidad.
Las Condes,UVO,Vivienda y Oficina,R + Eq,Zona II,60,45,Permite vivienda y oficinas.
Las Condes,UC1,Comercial 1,Eq + AP,Zona III,65,50,Comercio e instituciones comerciales.
Las Condes,UC1',Comercial 1 prima,Eq + AP,Zona III,65,50,Comercio e instituciones comerciales.
Las Condes,UC2,Comercial 2,Eq + AP,Zona III,65,50,Instituciones metropolitanas y comercio.
Las Condes,UC2',Comercial 2 prima,Eq + AP,Zona III,65,50,Actividades turísticas y esparcimiento.
Las Condes,UC3,Comercial 3,Eq + AP,Zona III,65,50,Zona comercial.
Las Condes,UM,Metropolitano,Eq + AP + Inf,Zona III,65,50,Uso metropolitano.
Las Condes,UEe1-SE-M,Equipamiento Metropolitano,Eq + AP + Inf,Zona III,65,50,Equipamiento metropolitano.
Las Condes,UEe1-SE-CC,Equipamiento Comunal Comercio y Servicios,Eq + AP,Zona III,65,50,Comercio y servicios.
Las Condes,UEe1-SE-CE,Equipamiento Comunal Educacional Culto y Cultura,Eq,Zona II,60,45,Equipamiento educacional y cultural.
Las Condes,UEe2,Equipamiento Recreacional Deportivo,Eq,Zona II,60,45,Equipamiento recreacional deportivo.
Las Condes,UEe3,Areas Verdes Intercomunales y Comunales,AV,Zona I,55,45,Area verde.
Las Condes,UEe4,Parques Metropolitanos,AV,Zona I,55,45,Parque metropolitano.
Las Condes,UEe5,Proteccion Patrimonial,EP,Zona II,60,45,Zona patrimonial sin actividad productiva.
